,Rooms,Status,Area,Price
0,3,Under Construction,3300,58800000
1,2,Ready to move,900,5000000
2,3,Under Construction,3300,58800000
3,3,Ready to move,1200,7000000
4,3,Under Construction,3300,58800000
5,2,Ready to move,800,5000000
6,2,Ready to move,900,11500000
7,3,Ready to move,1800,30500000
8,3,Ready to move,1000,4300000
9,2,Ready to move,500,2200000
10,2,Ready to move,750,3000000
11,2,Ready to move,600,3500000
12,4,Ready to move,3000,36000000
13,2,Ready to move,900,14000000
14,3,Ready to move,600,5400000
15,3,Ready to move,1000,4000000
16,4,Ready to move,1200,33000000
17,3,Ready to move,720,4400000
18,2,Ready to move,1150,8499000
19,1,Ready to move,445,3600000
20,3,Ready to move,1275,13000000
21,2,Ready to move,757,3500000
22,3,Ready to move,2200,27500000
23,3,Under Construction,1000,4800000
24,2,Ready to move,1042,4000000
25,3,Ready to move,810,6000000
26,2,Ready to move,450,2200000
27,1,Under Construction,500,2300000
28,4,Ready to move,1440,65000000
29,4,Ready to move,3265,100000000
30,3,Ready to move,1800,25000000
31,2,Ready to move,720,4799000
32,3,Ready to move,1100,12900000
33,2,Ready to move,1800,6200000
34,3,Ready to move,1900,62500000
35,2,Ready to move,972,9000000
36,2,Ready to move,440,3400000
37,3,Ready to move,900,3500000
38,3,Ready to move,1350,18500000
39,2,Ready to move,732,8500000
40,3,Ready to move,864,4800000
41,2,Ready to move,540,3100000
42,4,Ready to move,4950,65000000
43,2,Ready to move,802,3500000
44,4,Ready to move,1350,12500000
45,3,Ready to move,900,4400000
46,2,Ready to move,500,3800000
47,2,Ready to move,1100,15000000
48,2,Ready to move,1025,4799000
49,4,Ready to move,4800,60000000
50,3,Ready to move,1350,16000000
51,3,Ready to move,803,3499000
52,3,Ready to move,1450,13000000
53,4,Ready to move,2045,22900000
54,2,Ready to move,580,1898999
55,3,Ready to move,1337,7500000
56,2,Ready to move,700,3350000
57,3,Ready to move,800,5050000
58,5,Ready to move,8640,127500000
59,2,Ready to move,1100,8800000
60,3,Ready to move,1365,17500000
61,3,Ready to move,1000,5100000
62,2,Ready to move,810,6000000
63,2,Ready to move,750,3800000
64,2,Ready to move,925,3800000
65,2,Ready to move,500,3500000
66,5,Ready to move,3600,72500000
67,2,Under Construction,459,1500000
68,2,Ready to move,500,2900000
69,2,Ready to move,405,1900000
70,4,Ready to move,3600,55000000
71,3,Ready to move,1125,5500000
72,3,Ready to move,1350,6300000
73,3,Ready to move,990,3500000
74,1,Ready to move,442,5580000
75,5,Ready to move,2500,21000000
76,4,Ready to move,2000,23900000
77,1,Ready to move,500,3208000
78,2,Ready to move,750,8500000
79,3,Under Construction,1100,7500000
80,2,Ready to move,550,3500000
81,2,Ready to move,720,4200000
82,4,Ready to move,2600,33500000
83,2,Ready to move,1100,11000000
84,2,Under Construction,642,2500000
85,2,Under Construction,684,4800000
86,3,Under Construction,1152,6500000
87,4,Ready to move,3150,61500000
88,2,Under Construction,750,3200000
89,3,Ready to move,1500,20500000
90,5,Ready to move,1650,9000000
91,1,Ready to move,500,5700000
92,2,Ready to move,650,4000000
93,2,Ready to move,720,9000000
94,2,Ready to move,810,4600000
95,2,Ready to move,540,2150000
96,2,Ready to move,650,2500000
97,4,Ready to move,1800,25000000
98,3,Ready to move,1100,5000000
99,2,Ready to move,930,12500000
100,3,Under Construction,3300,58800000
101,4,Ready to move,1100,5800000
102,3,Ready to move,1000,4400000
103,1,Ready to move,500,2500000
104,3,Ready to move,1900,60000000
105,1,Ready to move,360,1800000
106,3,Ready to move,1450,13000000
107,2,Ready to move,960,11100000
108,2,Ready to move,840,9000000
109,3,Ready to move,1800,35000000
110,3,Ready to move,1535,6200000
111,3,Under Construction,1150,4800000
112,2,Ready to move,800,3200000
113,3,Ready to move,1800,28000000
114,2,Ready to move,585,3200000
115,3,Ready to move,1200,18000000
116,3,Ready to move,1150,18000000
117,2,Ready to move,625,2300000
118,2,Ready to move,986,20000000
119,1,Ready to move,535,1100000
120,1,Ready to move,500,1850000
121,3,Ready to move,1200,6500000
122,3,Under Construction,1100,8000000
123,2,Ready to move,675,2300000
124,3,Ready to move,1350,10000000
125,3,Ready to move,631,3575000
126,2,Ready to move,1100,8000000
127,2,Ready to move,585,2650000
128,2,Ready to move,1000,3800000
129,4,Ready to move,2700,55000000
130,1,Ready to move,350,2600000
131,5,Ready to move,2000,6200000
132,1,Ready to move,450,1800000
133,2,Ready to move,800,4300000
134,7,Ready to move,2900,75000000
135,3,Ready to move,720,6500000
136,3,Ready to move,1200,12400000
137,3,Ready to move,1250,15500000
138,2,Ready to move,522,2800000
139,4,Ready to move,2700,27500000
140,1,Ready to move,400,1500000
141,1,Ready to move,400,1500000
142,2,Ready to move,900,9000000
143,5,Ready to move,2750,15000000
144,4,Ready to move,1200,6500000
145,2,Ready to move,700,5250000
146,3,Ready to move,1650,18000000
147,2,Ready to move,900,5500000
148,2,Ready to move,650,2600000
149,3,Ready to move,900,6000000
150,5,Ready to move,2500,25000000
151,3,Ready to move,1000,4400000
152,1,Ready to move,500,4100000
153,3,Under Construction,1050,15000000
154,3,Ready to move,1200,15000000
155,3,Ready to move,1700,31000000
156,3,Ready to move,1250,14000000
157,2,Ready to move,1000,8350000
158,3,Ready to move,1250,14500000
159,4,Ready to move,2500,5200000
160,9,Ready to move,5400,14900000
161,9,Ready to move,5400,14900000
162,9,Ready to move,5400,14900000
163,5,Ready to move,5400,13799999
164,9,Ready to move,5400,14900000
165,9,Ready to move,5400,14900000
166,9,Ready to move,5400,14900000
167,9,Ready to move,5400,14900000
168,9,Ready to move,5400,14900000
169,2,Ready to move,520,2500000
170,2,Ready to move,520,2500000
171,2,Ready to move,520,2500000
172,2,Ready to move,520,2500000
173,2,Ready to move,520,2500000
174,2,Ready to move,520,2500000
175,3,Ready to move,2100,30000000
176,7,Ready to move,2500,5500000
177,7,Ready to move,2500,5500000
178,7,Ready to move,2500,5500000
179,3,Ready to move,1250,14000000
180,3,Ready to move,1250,14000000
181,3,Ready to move,1250,14000000
182,3,Ready to move,1250,14000000
183,3,Ready to move,1250,14000000
184,3,Ready to move,1250,14000000
185,3,Ready to move,1250,14000000
186,3,Ready to move,1250,14000000
187,3,Ready to move,1250,14000000
188,3,Ready to move,1250,14000000
189,3,Ready to move,1250,14000000
190,3,Ready to move,1250,14000000
191,1,Ready to move,400,3100000
192,1,Ready to move,400,3100000
193,1,Ready to move,400,3100000
194,1,Ready to move,400,3100000
195,1,Ready to move,400,2850000
